Metrik,LAPANGAN USAHA,Tahun,Triwulan,Nilai,Quarter_Order,Time_Label
ADH B (Miliar Rupiah),Sektor Primer,2022,I,1120.5599510692707,1,2022QI
ADH B (Miliar Rupiah),Sektor Primer,2022,II,1367.2604052191643,2,2022QII
ADH B (Miliar Rupiah),Sektor Primer,2022,III,1345.535383169508,3,2022QIII
ADH B (Miliar Rupiah),Sektor Primer,2022,IV,1121.8790900856018,4,2022QIV
ADH B (Miliar Rupiah),Sektor Primer,2023,I,1196.4099299164786,1,2023QI
ADH B (Miliar Rupiah),Sektor Primer,2023,II,1467.58830558275,2,2023QII
ADH B (Miliar Rupiah),Sektor Primer,2023,III,1479.5659873685704,3,2023QIII
ADH B (Miliar Rupiah),Sektor Primer,2023,IV,1090.4297340428852,4,2023QIV
ADH B (Miliar Rupiah),Sektor Primer,2024,I,1202.132558274504,1,2024QI
ADH B (Miliar Rupiah),Sektor Primer,2024,II,1499.916129849889,2,2024QII
ADH B (Miliar Rupiah),Sektor Primer,2024,III,1527.0476491913616,3,2024QIII
ADH B (Miliar Rupiah),Sektor Primer,2024,IV,1132.4883272668078,4,2024QIV
ADH B (Miliar Rupiah),Sektor Primer,2025,I,1242.6452832059656,1,2025QI
ADH B (Miliar Rupiah),Sektor Primer,2025,II,1547.9362714759204,2,2025QII
ADH B (Miliar Rupiah),Sektor Primer,2025,III,1561.5841410849146,3,2025QIII
ADH B (Miliar Rupiah),Sektor Sekunder,2022,I,33889.5748541801,1,2022QI
ADH B (Miliar Rupiah),Sektor Sekunder,2022,II,34418.90676298314,2,2022QII
ADH B (Miliar Rupiah),Sektor Sekunder,2022,III,36570.53751096925,3,2022QIII
ADH B (Miliar Rupiah),Sektor Sekunder,2022,IV,37495.603332733685,4,2022QIV
ADH B (Miliar Rupiah),Sektor Sekunder,2023,I,37672.83474667974,1,2023QI
ADH B (Miliar Rupiah),Sektor Sekunder,2023,II,37875.91044097454,2,2023QII
ADH B (Miliar Rupiah),Sektor Sekunder,2023,III,38912.09062293419,3,2023QIII
ADH B (Miliar Rupiah),Sektor Sekunder,2023,IV,40100.52888714784,4,2023QIV
ADH B (Miliar Rupiah),Sektor Sekunder,2024,I,41096.060690250015,1,2024QI
ADH B (Miliar Rupiah),Sektor Sekunder,2024,II,41275.75501248442,2,2024QII
ADH B (Miliar Rupiah),Sektor Sekunder,2024,III,42563.913164279744,3,2024QIII
ADH B (Miliar Rupiah),Sektor Sekunder,2024,IV,42549.541314902606,4,2024QIV
ADH B (Miliar Rupiah),Sektor Sekunder,2025,I,43988.42522449288,1,2025QI
ADH B (Miliar Rupiah),Sektor Sekunder,2025,II,45069.05036499699,2,2025QII
ADH B (Miliar Rupiah),Sektor Sekunder,2025,III,46561.21498228874,3,2025QIII
ADH B (Miliar Rupiah),Sektor Tersier,2022,I,21855.119406284342,1,2022QI
ADH B (Miliar Rupiah),Sektor Tersier,2022,II,24310.59784083554,2,2022QII
ADH B (Miliar Rupiah),Sektor Tersier,2022,III,25416.2556926658,3,2022QIII
